,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Condition,Mileage,Region,Price,Negotiable
0,Chrysler,C300,2018,Saudi,Black,0,5.7,0,0,Used,103000.0,Riyadh,114000.0,False
2,Nissan,Sunny,2019,Saudi,Silver,2,1.5,0,0,Used,72418.0,Riyadh,27500.0,False
3,Hyundai,Elantra,2019,Saudi,Grey,2,1.6,0,0,Used,114154.0,Riyadh,43000.0,False
4,Hyundai,Elantra,2019,Saudi,Silver,1,2.0,0,0,Used,41912.0,Riyadh,59500.0,False
5,Honda,Accord,2018,Saudi,Navy,0,1.5,0,0,Used,39000.0,Riyadh,72000.0,False
6,Toyota,Land Cruiser,2011,Saudi,White,1,4.5,0,0,Used,183000.0,Riyadh,92000.0,False
8,Chevrolet,Impala,2019,Saudi,Black,2,3.6,0,0,Used,70000.0,Riyadh,80000.0,False
9,Toyota,Yaris,2018,Saudi,White,2,1.5,0,0,Used,131000.0,Jeddah,32000.0,False
10,Toyota,Camry,2017,Gulf Arabic,White,2,2.5,0,0,Used,107000.0,Dammam,50000.0,False
11,Nissan,Patrol,2014,Saudi,White,0,5.6,0,0,Used,106000.0,Dammam,135000.0,False
12,Chevrolet,Tahoe,2018,Other,Grey,1,5.3,0,0,Used,176140.0,Riyadh,153000.0,False
13,Mercedes,CLA,2020,Other,White,2,1.5674798161793047,0,0,Used,20000.0,Riyadh,235000.0,False
14,Mercedes,E,2017,Saudi,Grey,0,2.0,0,0,Used,20600.0,Dammam,210000.0,False
15,Hyundai,Accent,2019,Saudi,White,2,1.4,0,0,Used,83000.0,Jeddah,37000.0,False
16,Toyota,Corolla,2018,Saudi,White,2,1.6,0,0,Used,7702.0,Dammam,45000.0,False
17,MINI,Copper,2016,Gulf Arabic,Grey,0,2.0,0,0,Used,110000.0,Dammam,83000.0,False
18,Nissan,Sunny,2017,Saudi,White,2,1.5,0,0,Used,58000.0,Al-Medina,24500.0,False
20,Nissan,Patrol,2016,Saudi,White,2,4.8,0,0,Used,93000.0,Jeddah,83000.0,False
21,Toyota,Prado,2021,Saudi,White,1,4.0,0,0,Used,3000.0,Dammam,174000.0,False
22,Hyundai,Elantra,2018,Other,White,2,1.6,2,0,Used,83000.0,Riyadh,50000.0,False
23,Honda,Civic,2017,Saudi,Black,2,1.5,0,0,Used,200000.0,Jeddah,38000.0,False
24,Toyota,Furniture,2021,Saudi,White,1,2.4,2,0,Used,29000.0,Qassim,145000.0,False
25,Lexus,RX,2019,Saudi,Bronze,0,3.5,0,0,Used,129000.0,Jeddah,178000.0,False
26,Land Rover,Range Rover,2014,Saudi,Black,0,3.0,0,0,Used,80000.0,Makkah,230000.0,False
28,GMC,Yukon,2017,Saudi,Silver,2,5.3,0,0,Used,137317.0,Dammam,130000.0,False
30,Nissan,Bus Urvan,2020,Saudi,White,2,3.5,0,1,Used,27000.0,Riyadh,68000.0,False
31,Toyota,Aurion,2015,Saudi,White,1,2.6,0,0,Used,300.0,Jazan,50000.0,False
32,Nissan,Sunny,2019,Saudi,White,2,1.5,0,0,Used,112963.0,Riyadh,27500.0,False
